Time,VII_Lg,IX_Lg,P15,P16,3x_h2,3x_o2,4x_h2,4x_o2,25x_h2,25x_o2,35x_h2,35x_o2,VIIx_h2,VIIx_o2,IXx_h2,IXx_o2,XIIIx_h2,XIIIx_o2,
          6.70000000,          0.29998247,          0.29998244,    2999824.70106867,    2999824.71355004,          0.00001810,          0.00000000,          0.00000029,          0.00000919,          1.00000000,          0.00000000,          0.00000010,          0.99999990,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.80000000,          0.29998221,          0.29998218,    2999822.08713683,    2999822.09963496,          0.00001837,          0.00000000,          0.00000029,          0.00000933,          1.00000000,          0.00000000,          0.00000010,          0.99999990,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.90000000,          0.29998195,          0.29998192,    2999819.47330675,    2999819.48582190,          0.00001864,          0.00000000,          0.00000030,          0.00000947,          1.00000000,          0.00000000,          0.00000011,          0.99999989,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.00000000,          0.29998168,          0.29998165,    2999816.85957896,    2999816.87211139,          0.00001890,          0.00000000,          0.00000031,          0.00000961,          1.00000000,          0.00000000,          0.00000011,          0.99999989,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.10000000,          0.29998142,          0.29998139,    2999814.24595393,    2999814.25850391,          0.00001917,          0.00000000,          0.00000031,          0.00000974,          1.00000000,          0.00000000,          0.00000011,          0.99999989,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.20000000,          0.29998116,          0.29998113,    2999811.63243219,    2999811.64499999,          0.00001944,          0.00000000,          0.00000032,          0.00000988,          1.00000000,          0.00000000,          0.00000012,          0.99999988,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.30000000,          0.29998090,          0.29998087,    2999809.01901424,    2999809.03160011,          0.00001971,          0.00000000,          0.00000032,          0.00001002,          1.00000000,          0.00000000,          0.00000012,          0.99999988,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.40000000,          0.29998064,          0.29998060,    2999806.40570057,    2999806.41830479,          0.00001998,          0.00000000,          0.00000033,          0.00001016,          1.00000000,          0.00000000,          0.00000012,          0.99999988,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.50000000,          0.29998038,          0.29998034,    2999803.79249171,    2999803.80511454,          0.00002025,          0.00000000,          0.00000033,          0.00001029,          1.00000000,          0.00000000,          0.00000013,          0.99999987,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.60000000,          0.29998012,          0.29998008,    2999801.17938815,    2999801.19202987,          0.00002052,          0.00000000,          0.00000034,          0.00001043,          1.00000000,          0.00000000,          0.00000013,          0.99999987,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.70000000,          0.29997986,          0.29997982,    2999798.56639040,    2999798.57905128,          0.00002079,          0.00000000,          0.00000034,          0.00001057,          1.00000000,          0.00000000,          0.00000014,          0.99999986,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.80000000,          0.29997959,          0.29997955,    2999795.95349899,    2999795.96617929,          0.00002106,          0.00000000,          0.00000035,          0.00001070,          1.00000000,          0.00000000,          0.00000014,          0.99999986,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          7.90000000,          0.29997933,          0.29997929,    2999793.34071441,    2999793.35341442,          0.00002132,          0.00000000,          0.00000035,          0.00001084,          1.00000000,          0.00000000,          0.00000014,          0.99999986,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.00000000,          0.29997907,          0.29997903,    2999790.72803718,    2999790.74075717,          0.00002159,          0.00000000,          0.00000036,          0.00001098,          1.00000000,          0.00000000,          0.00000015,          0.99999985,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.10000000,          0.29997881,          0.29997877,    2999788.11546780,    2999788.12820805,          0.00002186,          0.00000000,          0.00000036,          0.00001112,          1.00000000,          0.00000000,          0.00000015,          0.99999985,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.20000000,          0.29997855,          0.29997850,    2999785.50300680,    2999785.51576758,          0.00002213,          0.00000000,          0.00000037,          0.00001125,          1.00000000,          0.00000000,          0.00000016,          0.99999984,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.30000000,          0.29997829,          0.29997824,    2999782.89065468,    2999782.90343627,          0.00002240,          0.00000000,          0.00000038,          0.00001139,          1.00000000,          0.00000000,          0.00000016,          0.99999984,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.40000000,          0.29997803,          0.29997798,    2999780.27841196,    2999780.29121466,          0.00002267,          0.00000000,          0.00000038,          0.00001153,          1.00000000,          0.00000000,          0.00000017,          0.99999983,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.50000000,          0.29997777,          0.29997772,    2999777.66627917,    2999777.67910326,          0.00002294,          0.00000000,          0.00000039,          0.00001166,          1.00000000,          0.00000000,          0.00000017,          0.99999983,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.60000000,          0.29997750,          0.29997745,    2999775.05425706,    2999775.06710242,          0.00002321,          0.00000000,          0.00000039,          0.00001180,          1.00000000,          0.00000000,          0.00000018,          0.99999982,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.70000000,          0.29997724,          0.29997719,    2999772.44234533,    2999772.45521274,          0.00002347,          0.00000000,          0.00000040,          0.00001194,          1.00000000,          0.00000000,          0.00000018,          0.99999982,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.80000000,          0.29997698,          0.29997693,    2999769.83054447,    2999769.84343402,          0.00002374,          0.00000000,          0.00000040,          0.00001208,          1.00000000,          0.00000000,          0.00000018,          0.99999982,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          8.90000000,          0.29997672,          0.29997666,    2999767.21885469,    2999767.23176665,          0.00002401,          0.00000000,          0.00000041,          0.00001221,          1.00000000,          0.00000000,          0.00000019,          0.99999981,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.00000000,          0.29997646,          0.29997640,    2999764.60727625,    2999764.62021088,          0.00002428,          0.00000000,          0.00000042,          0.00001235,          1.00000000,          0.00000000,          0.00000019,          0.99999981,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.10000000,          0.29997620,          0.29997614,    2999761.99580935,    2999762.00876693,          0.00002455,          0.00000000,          0.00000042,          0.00001249,          1.00000000,          0.00000000,          0.00000020,          0.99999980,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.20000000,          0.29997594,          0.29997588,    2999759.38445419,    2999759.39743498,          0.00002482,          0.00000000,          0.00000043,          0.00001262,          1.00000000,          0.00000000,          0.00000020,          0.99999980,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.30000000,          0.29997568,          0.29997561,    2999756.77321092,    2999756.78621520,          0.00002509,          0.00000000,          0.00000043,          0.00001276,          1.00000000,          0.00000000,          0.00000021,          0.99999979,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.40000000,          0.29997541,          0.29997535,    2999754.16207967,    2999754.17510771,          0.00002536,          0.00000000,          0.00000044,          0.00001290,          1.00000000,          0.00000000,          0.00000021,          0.99999979,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.50000000,          0.29997515,          0.29997509,    2999751.55106054,    2999751.56411261,          0.00002562,          0.00000000,          0.00000044,          0.00001304,          1.00000000,          0.00000000,          0.00000022,          0.99999978,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.60000000,          0.29997489,          0.29997483,    2999748.94015363,    2999748.95322999,          0.00002589,          0.00000000,          0.00000045,          0.00001317,          1.00000000,          0.00000000,          0.00000023,          0.99999977,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          9.70000000,          0.29997463,          0.29997456,    2999746.32935901,    2999746.34245994,          0.00002616,          0.00000000,          0.00000046,          0.00001331,          1.00000000,          0.00000000,          0.00000023,          0.99999977,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
